ligand_id,iupac,glycoct,glytoucan_id,monosac_composition
G87315SO,GalNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n",G87315SO,"Gal:2,GalNAc:1"
G39064VB,Fuc(a1-2)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(2+1)4d",G39064VB,"Fuc:1,Gal:1,Glc:1,GlcNAc:1"
G27798EJ,Gal(a1-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d",G27798EJ,"Gal:2,Glc:1,GlcNAc:1"
G90377OF,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-lgal-HEX-1:5|6:d
4b:a-dgal-HEX-1:5
5s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(2+1)3d
3:2o(3+1)4d
4:4d(2+1)5n",G90377OF,"Fuc:1,Gal:2,GalNAc:1,Glc:1"
G04616ST,Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d",G04616ST,"Gal:1,Glc:1,GlcNAc:1"
G77824XV,NeuAc(a2-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
3s:n-acetyl
LIN
1:1o(3+2)2d
2:2d(5+1)3n",G77824XV,"Gal:1,Neu:1,NeuAc:1"
G12045LV,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-lgal-HEX-1:5|6:d
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d",G12045LV,"Fuc:1,Gal:2,Glc:2,GlcNAc:1"
G00047MO,Gal(b1-3)[Fuc(a1-4)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d",G00047MO,"Fuc:1,Gal:1,Glc:1,GlcNAc:1"
G81928IQ,NeuAc(a2-8)NeuAc(a2-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n",G81928IQ,"Gal:1,Glc:1,Neu:2,NeuAc:2"
G20624LQ,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:5o(6+1)7d",G20624LQ,"Glc:2,GlcNAc:2,Man:3"
G65609XC,GlcNAc(b1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
LIN
1:1o(2+1)2d
2:2d(2+1)3n",G65609XC,"Glc:1,GlcNAc:1,Man:1"
G18980FQ,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:a-dman-HEX-1:5
8b:b-dglc-HEX-1:5
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5d(2+1)6n
6:3o(6+1)7d
7:7o(2+1)8d
8:8d(2+1)9n",G18980FQ,"Glc:3,GlcNAc:3,Man:3"
G82739ZR,GlcNAc(b1-2)Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3d(2+1)4n",G82739ZR,"Glc:1,GlcNAc:1,Man:2"
G52148JS,Glc(b1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d",G52148JS,Glc:2
G91625IP,Ara,"RES
1b:x-dara-PEN-1:5",G91625IP,Ara:1
G48740SL,Gal(a1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d",G48740SL,"Gal:2,Glc:1"
G75623HL,LGal,"RES
1b:x-lgal-HEX-1:5",G75623HL,Gal:1
G05049AS,Fuc(a1-2)Gal(b1-2)Xyl,"RES
1b:x-dxyl-PEN-1:5
2b:b-dgal-HEX-1:5
3b:a-lgal-HEX-1:5|6:d
LIN
1:1o(2+1)2d
2:2o(2+1)3d",G05049AS,"Fuc:1,Gal:1,Xyl:1"
G44414OJ,Glc(b1-3)Glc(b1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d",G44414OJ,Glc:3
G65191ST,NeuAc(a2-3)Gal(b1-3)[NeuAc(a2-6)]GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
6b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+2)6d
6:6d(5+1)7n",G65191ST,"Gal:2,GalNAc:1,Neu:2,NeuAc:2"
G10543DQ,Glc(a1-1)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
LIN
1:1o(1+1)2d",G10543DQ,Glc:2
G45207BM,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d",G45207BM,"Gal:2,Glc:2,GlcNAc:2"
G69893KP,NeuAc(a2-6)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(6+2)3d
3:3d(5+1)4n",G69893KP,"Gal:1,Glc:1,Neu:1,NeuAc:1"
G02753DE,Gal(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(3+1)2d",G02753DE,Gal:2
G27589TC,Gal(b1-6)GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(6+1)3d",G27589TC,"Gal:2,GalNAc:1"
G44856HU,Gal(b1-6)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(6+1)2d",G44856HU,"Gal:1,Glc:1"
G33395TI,GalNAc(a1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n",G33395TI,"Gal:2,GalNAc:1"
G47764XB,Man(a1-2)Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d",G47764XB,Man:3
G95341UA,GalNAc(a1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgal-HEX-1:5
4s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n",G95341UA,"Gal:2,GalNAc:1,Glc:1"
G68607SL,GalNAc(a1-3)GalNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
3s:n-acetyl
4b:a-dgal-HEX-1:5
5s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n
3:2o(3+1)4d
4:4d(2+1)5n",G68607SL,"Gal:3,GalNAc:2"
G33575EC,Glc(a1-4)Glc(a1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d",G33575EC,Glc:3
G41759HA,GalNAc(b1-4)[NeuAc(a2-8)NeuAc(a2-3)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
7b:b-dgal-HEX-1:5
8s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n
6:2o(4+1)7d
7:7d(2+1)8n",G41759HA,"Gal:2,GalNAc:1,Glc:1,Neu:2,NeuAc:2"
G29494LA,ManNAc,"RES
1b:x-dman-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G29494LA,Man:1
G45140IE,Glc(b1-3)Glc(b1-3)Glc(b1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d
3:3o(3+1)4d",G45140IE,Glc:4
G25787TL,Dfuc,"RES
1b:x-dgal-HEX-1:5|6:d",G25787TL,
G47366RU,Fuc(a1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(4+1)3d",G47366RU,"Fuc:1,Glc:1,GlcNAc:1"
G56660NC,Glc(a1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
LIN
1:1o(3+1)2d",G56660NC,Glc:2
G62300KZ,GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
4b:b-dglc-HEX-1:5
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d
4:4d(2+1)5n",G62300KZ,"Fuc:1,Glc:2,GlcNAc:2"
G30704AF,Man(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:1o(6+1)4d
4:4o(3+1)5d",G30704AF,Man:5
G13910LY,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-lgal-HEX-1:5|6:d
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
5b:a-dgal-HEX-1:5
6s:n-acetyl
LIN
1:1o(3+1)2d
2:1o(4+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n",G13910LY,"Fuc:2,Gal:2,GalNAc:1,Glc:1"
G58612ZQ,Gal(a1-3)[Fuc(a1-2)]Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-lgal-HEX-1:5|6:d
3b:a-dgal-HEX-1:5
LIN
1:1o(2+1)2d
2:1o(3+1)3d",G58612ZQ,"Fuc:1,Gal:2"
G28528AG,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(3+1)3d
3:2o(6+1)4d
4:4o(2+1)5d",G28528AG,Man:5
G99199AD,DDmanHep,"RES
1b:x-dgro-dman-HEP-1:5",G99199AD,
G79085KK,LDmanHep,"RES
1b:x-lgro-dman-HEP-1:5",G79085KK,
G64541AU,LDmanHep(a1-3)LDmanHep,"RES
1b:x-lgro-dman-HEP-1:5
2b:a-lgro-dman-HEP-1:5
LIN
1:1o(3+1)2d",G64541AU,
G09342SH,Man(a1-2)Man(a1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d
2:2o(2+1)3d",G09342SH,Man:3
G35587SF,Rha(a1-6)Glc(a1-4)[GlcNAc(b1-3)]Gal(a1-3)[Glc(a1-6)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:a-dglc-HEX-1:5
7b:a-lman-HEX-1:5|6:d
8b:a-dglc-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(4+1)6d
6:6o(6+1)7d
7:1o(6+1)8d",G35587SF,"Gal:1,Glc:4,GlcNAc:2,Rha:1"
G88876JQ,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:a-dman-HEX-1:5
10b:b-dglc-HEX-1:5
11s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:5o(6+1)9d
9:9o(2+1)10d
10:10d(2+1)11n",G88876JQ,"Glc:4,GlcNAc:4,Man:3"
G60087WL,Gal(b1-4)Fuc(a1-6)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
4b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3o(4+1)4d",G60087WL,"Fuc:1,Gal:1,Glc:1,GlcNAc:1"
G26929DQ,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d",G26929DQ,"Gal:3,Glc:3,GlcNAc:3"
G35178XK,Gal(a1-2)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
LIN
1:1o(2+1)2d",G35178XK,Gal:2
G84430BE,Man(a1-2)Man(a1-3)[Man(a1-6)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:1o(6+1)4d",G84430BE,Man:4
G48059CD,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d",G48059CD,"Gal:2,Glc:2,GlcNAc:1"
G01650PH,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
6b:a-lgal-HEX-1:5|6:d
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
5:5o(2+1)6d",G01650PH,"Fuc:1,Gal:2,Glc:2,GlcNAc:1"
G62763GO,Gal(a1-4)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G62763GO,Gal:2
G07006BT,Rha,"RES
1b:x-lman-HEX-1:5|6:d",G07006BT,Rha:1
G97536OM,Man(a1-6)Man(a1-6)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(6+1)3d",G97536OM,Man:3
G58507AZ,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
5b:a-dgal-HEX-1:5
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n",G58507AZ,"Fuc:1,Gal:2,GalNAc:1,Glc:1,GlcNAc:1"
G88393MK,Fuc(a1-2)Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d",G88393MK,"Fuc:1,Gal:1,Glc:1,GlcNAc:1"
G43724HA,NeuGc,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-glycolyl
LIN
1:1d(5+1)2n",G43724HA,Neu:1
G91484JV,NeuGc(a2-3)Gal(b1-3)GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-glycolyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n",G91484JV,"Gal:2,GalNAc:1,Neu:1"
G59168YE,NeuAc(a2-3)Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n",G59168YE,"Gal:1,Glc:1,GlcNAc:1,Neu:1,NeuAc:1"
G02880JU,GlcNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n",G02880JU,"Gal:1,Glc:1,GlcNAc:1"
G16633GB,GalN,"RES
1b:x-dgal-HEX-1:5
2s:amino
LIN
1:1d(2+1)2n",G16633GB,Gal:1
G25213CC,NeuAc(a2-8)NeuAc(a2-8)NeuAc,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-acetyl
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1d(5+1)2n
2:1o(8+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n",G25213CC,"Neu:3,NeuAc:3"
G97569KL,Neu5Ac(a2-8)Neu5Ac,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-acetyl
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1d(5+1)2n
2:1o(8+2)3d
3:3d(5+1)4n",G97569KL,"Neu:2,Neu5Ac:2"
G04869AE,Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:5o(6+1)8d",G04869AE,Man:8
G91415NU,Gal(b1-3)[NeuAc(a2-6)]GlcNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
4b:b-dgal-HEX-1:5
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n
3:2o(3+1)4d
4:2o(6+2)5d
5:5d(5+1)6n",G91415NU,"Gal:2,Glc:1,GlcNAc:1,Neu:1,NeuAc:1"
